# Sample generated by Stan (Automatic Differentiation Variational Inference)
# stan_version_major=2
# stan_version_minor=14
# stan_version_patch=0
lp__,alpha,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28,beta.29,beta.30,beta.31,beta.32,beta.33,beta.34,beta.35,beta.36,beta.37,beta.38,beta.39,beta.40,beta.41,beta.42,beta.43,beta.44,beta.45,beta.46,beta.47,beta.48,beta.49,beta.50,beta.51,beta.52,beta.53,beta.54,beta.55,beta.56,beta.57,beta.58,beta.59,beta.60,beta.61,beta.62,beta.63,beta.64,beta.65,beta.66,beta.67,beta.68,beta.69,beta.70,beta.71,beta.72,beta.73,beta.74,beta.75,beta.76,beta.77,beta.78,beta.79,beta.80,beta.81,beta.82,beta.83,beta.84,beta.85,beta.86,beta.87,beta.88,beta.89,beta.90,beta.91,beta.92,beta.93,beta.94,beta.95,beta.96,beta.97,beta.98,beta.99,beta.100,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,lambda.11,lambda.12,lambda.13,lambda.14,lambda.15,lambda.16,lambda.17,lambda.18,lambda.19,lambda.20,lambda.21,lambda.22,lambda.23,lambda.24,lambda.25,lambda.26,lambda.27,lambda.28,lambda.29,lambda.30,lambda.31,lambda.32,lambda.33,lambda.34,lambda.35,lambda.36,lambda.37,lambda.38,lambda.39,lambda.40,lambda.41,lambda.42,lambda.43,lambda.44,lambda.45,lambda.46,lambda.47,lambda.48,lambda.49,lambda.50,lambda.51,lambda.52,lambda.53,lambda.54,lambda.55,lambda.56,lambda.57,lambda.58,lambda.59,lambda.60,lambda.61,lambda.62,lambda.63,lambda.64,lambda.65,lambda.66,lambda.67,lambda.68,lambda.69,lambda.70,lambda.71,lambda.72,lambda.73,lambda.74,lambda.75,lambda.76,lambda.77,lambda.78,lambda.79,lambda.80,lambda.81,lambda.82,lambda.83,lambda.84,lambda.85,lambda.86,lambda.87,lambda.88,lambda.89,lambda.90,lambda.91,lambda.92,lambda.93,lambda.94,lambda.95,lambda.96,lambda.97,lambda.98,lambda.99,lambda.100,tau,sigma
Stepsize adaptation complete.
eta = 0.1
0,-0.672546,0.132081,-0.0594256,0.236121,-0.0420388,-0.741783,0.805223,0.0185389,-0.0955258,0.00575415,-0.00130303,1.44377,0.467892,0.131578,-0.746719,-0.782067,-0.0140716,-0.112632,0.0159252,0.162329,-0.079469,0.0508704,-0.0591136,0.0818503,-0.200437,2.34436,-0.0308713,0.103016,-0.0392461,-1.41861,-1.5794,0.169376,0.0273127,-0.117234,0.0358636,-0.407207,-0.159004,-0.879744,-0.132336,0.175876,0.0271868,0.5342,-0.963777,0.0273378,0.185025,-0.294918,0.742953,-0.572919,-0.482029,0.0995999,0.575027,-0.0582935,0.103974,0.275886,-0.736904,0.412835,0.66039,-0.0139939,0.116932,0.220612,-0.147442,-0.0974471,1.1639,-0.00535079,-0.131714,0.104819,0.470353,0.109179,0.0227697,-0.0844843,-0.0379141,0.0106648,-0.195824,-0.065549,-0.19854,1.16379,-0.26091,0.0155181,0.638034,-0.218198,-0.315595,-0.0269694,0.0408284,-0.0412227,-0.131192,0.164457,0.0072447,0.161862,-0.0467328,-0.552899,-0.0619961,-0.242412,-0.46964,0.148542,1.48539,0.0197611,0.00637439,0.0981206,1.43662,0.465307,0.138688,0.425149,0.415461,0.508532,0.359274,0.867063,0.926424,0.488813,0.413801,0.376252,0.35884,1.31962,0.674395,0.457241,0.859887,0.89996,0.363845,0.423249,0.373956,0.492771,0.388875,0.40391,0.390764,0.365422,0.507455,1.82781,0.422209,0.476784,0.372621,1.31923,1.44334,0.48331,0.402541,0.467092,0.37433,0.583482,0.414281,0.942144,0.468945,0.437143,0.382609,0.750978,0.993107,0.533343,0.570336,0.635856,0.877675,0.730689,0.680148,0.445534,0.796398,0.389424,0.385267,0.541514,0.886794,0.592218,0.832951,0.503263,0.387415,0.51712,0.413982,0.376138,1.13331,0.36291,0.398913,0.386526,0.701399,0.448548,0.390509,0.398363,0.38863,0.356951,0.405816,0.461514,0.450265,1.15247,0.492146,0.358812,0.785242,0.509235,0.527378,0.391489,0.366354,0.471992,0.482813,0.465757,0.416577,0.480893,0.435454,0.694592,0.381308,0.520979,0.706158,0.560901,1.34279,0.40803,0.368287,0.464716,1.31824,0.704899,0.408132,1.31306,413.478
0,-0.770138,0.0302309,-0.256018,0.0477593,-0.000801919,-1.02869,1.26764,0.186337,0.088744,0.121139,0.0958313,1.54791,0.354448,0.14088,-0.834331,-1.03856,0.0860016,-0.320108,-0.0832826,0.205594,-0.0932162,0.0867651,0.28949,-0.106252,-0.143805,2.07138,-0.201769,0.310117,0.218267,-1.83723,-1.57259,0.134248,-0.103998,-0.00163507,0.337271,-0.367226,-0.231806,-1.01519,-0.533845,0.180831,0.272837,-0.139779,-1.10598,0.43546,0.237237,0.241433,0.763936,-0.674601,-0.487971,-0.263007,0.47882,-0.172712,-0.0336461,0.362717,-0.855027,0.51311,0.635886,-0.175033,0.360567,0.138863,-0.148385,-0.321335,1.32407,-0.286323,-0.136472,0.107512,0.241479,0.307877,-0.095669,-0.2217,-0.0923086,0.0431811,-0.124114,0.164158,-0.0815548,1.22749,-0.147445,-0.111569,0.810541,-0.219706,-0.354717,-0.125511,-0.0869763,0.135267,-0.158839,0.189522,-0.339562,0.270372,0.145339,-0.253888,0.107745,-0.486361,-0.355947,0.52072,1.29443,0.398724,0.080786,0.168206,1.59848,0.596039,0.153426,1.78184,0.509073,0.24381,0.262315,1.71097,3.65941,0.383873,2.72818,0.381393,0.140401,0.80302,0.173173,0.6978,1.24935,1.87859,0.877547,0.83146,3.07067,0.978055,0.123248,2.1192,6.7013,0.558864,2.51669,1.36072,0.901784,0.128666,0.256055,1.00209,2.69084,0.120607,5.47958,0.283946,0.247796,0.394907,0.323799,0.429235,0.655698,0.155916,0.0732152,1.76668,0.725618,1.07189,0.304754,0.391409,3.64104,0.54055,1.3999,0.276031,0.47151,0.651162,0.667369,0.3257,1.99037,1.02409,1.95924,1.19716,3.20678,0.686298,0.871592,0.19006,0.259347,2.76429,0.381671,0.506208,1.33978,0.862581,0.297337,0.27543,0.19208,0.556486,0.258996,0.188547,0.521136,1.54287,2.07246,0.139486,0.805983,0.527839,2.18542,0.193843,0.29478,1.25318,1.05006,0.229655,0.169508,0.184249,0.482954,1.12808,0.441074,0.164359,0.396394,0.330002,1.44072,0.983279,0.0923144,0.946664,0.502504,0.958517,1.25311,1.29579,183.04
0,-0.786702,0.141326,-0.12075,0.17841,-0.464163,-0.733671,0.203065,0.100401,-0.0462361,0.208592,0.0211539,1.38245,0.442028,0.328457,-0.580048,-0.96408,-0.180071,0.214313,-0.225486,0.115178,-0.165934,-0.0421598,0.0603736,0.0754318,-0.241794,2.31829,-0.332761,0.250046,-0.115751,-1.29163,-2.00409,-0.0178433,-0.162591,-0.0110913,-0.148351,-0.654288,-0.196083,-0.528199,0.118287,0.168533,0.0181052,0.218719,-1.03711,-0.40535,0.164613,-0.201017,0.415483,-0.313101,-0.390877,-0.0756527,0.425789,0.112047,-0.164033,0.308791,-0.549695,0.633444,0.749369,-0.0370669,0.187547,0.247479,-0.0989893,-0.241631,1.241,0.0284519,-0.337224,0.0793484,0.426218,0.646842,-0.0444253,0.330571,-0.190513,-0.0414874,-0.0847541,0.163019,-0.309904,1.41295,0.0243714,0.0826753,0.516487,0.272667,-0.144355,-0.152973,-0.0748476,0.221425,-0.522928,0.306863,0.148218,0.260392,0.361388,-0.598546,0.0538949,-0.381788,-0.523874,-0.0854669,0.876916,0.104074,-0.0306823,0.171909,1.2567,0.781558,0.401552,0.791955,0.917658,2.40562,0.178203,1.02658,3.02395,1.41466,0.226896,0.419068,0.199739,1.7492,0.398573,1.20585,2.10042,1.83493,0.837562,0.159115,1.07652,0.463038,0.386937,0.373352,1.277,0.346159,0.0963824,3.34997,0.800653,0.266739,0.584161,2.51675,1.12015,0.255435,0.783398,0.475154,0.913991,3.21028,0.270957,2.23187,0.843308,1.04217,0.353808,1.86389,0.721465,2.47046,0.281433,3.65205,0.791307,1.63145,0.129762,0.244589,1.42595,3.43401,0.141549,0.262147,0.529543,0.385569,0.375307,0.173812,1.00282,0.34271,0.141417,1.51938,1.6085,0.166577,0.182018,0.482667,1.37424,0.43998,0.381816,1.93236,0.192715,0.441153,2.19203,0.254402,0.298748,1.53238,0.804855,0.129306,0.898172,0.256611,0.762152,0.4604,0.330715,0.388195,0.329515,0.288227,0.811663,0.792171,0.595371,0.257984,0.136778,1.43306,0.396721,0.784727,0.366679,0.200838,0.225951,4.11654,0.854417,0.439333,2.00653,1.22032,8.42985e-08
0,-0.279173,0.285163,-0.284717,0.369345,0.0101119,-0.913541,0.517426,0.106747,-0.185072,0.102082,-0.0921118,1.33036,0.339844,-0.00464542,-0.854344,-0.710766,-0.0846279,-0.437978,0.209032,-0.0683421,-0.116019,0.149698,-0.199896,-0.258688,-0.616807,2.24877,0.174721,0.705098,-0.0669064,-1.8751,-1.68767,0.0249929,0.362687,-0.321028,0.0920627,-0.334278,-0.185099,-0.887868,-0.213024,0.158537,-0.00788126,0.655583,-0.662759,0.146499,-0.116386,-0.135401,0.55204,-0.40918,-0.238054,-0.169751,0.362042,0.203892,0.15133,0.0510703,-0.537354,0.230381,0.498895,0.280705,0.0364189,-0.00567749,-0.302272,-0.0903173,0.977872,-0.112941,-0.293898,-0.304688,0.507463,0.0859106,-0.256863,-0.298788,0.0398826,0.117533,-0.18096,0.301317,-0.17007,1.07813,-0.29701,0.117761,0.534816,0.0282881,-0.156122,-0.173547,0.0594751,-0.163785,0.0396565,-0.201132,0.199539,0.165822,-0.261447,-0.530722,-0.0306849,-0.131458,-0.8992,0.192199,1.3763,0.272706,0.0196584,0.080962,1.47434,0.353689,0.148017,0.85436,0.680979,0.0728909,0.443484,0.539628,1.24833,0.783509,0.461357,1.00795,0.0995004,1.16211,1.16524,0.650825,0.31273,0.60528,0.325189,0.17205,0.139404,0.491335,0.421489,0.208308,0.193859,0.412941,0.121468,2.72706,1.18448,0.121671,0.20535,0.939237,0.914538,0.253491,0.458611,0.605965,0.461348,0.297312,0.107901,1.99987,0.197226,1.24452,0.452942,0.561411,0.733431,0.183921,0.898882,0.318494,1.37301,1.1705,1.4407,0.156519,0.266559,0.283836,0.89599,0.348632,0.920088,1.63047,0.571711,0.505764,0.893373,1.33251,1.54723,1.20429,3.0402,0.874825,0.0771,2.47142,0.566667,1.22077,0.0639137,0.0549242,0.309421,0.13548,0.168632,1.14508,0.279338,0.854773,1.1951,0.442934,0.911378,0.417221,0.438142,0.313712,1.19587,1.29087,0.435199,0.709726,0.904833,0.406534,0.0673113,1.47828,0.126269,0.343423,0.205179,0.29867,0.719953,0.430579,0.475224,0.420825,0.633374,1.51593,1.17974,1.35509,380849
0,-0.617187,0.0523325,-0.331411,0.0491619,-0.0968244,-0.991083,0.298465,0.340279,-0.277234,0.283393,-0.268631,1.38304,0.612664,-0.146505,-0.586314,-0.387166,-0.0560757,-0.218954,0.0892043,-0.168839,-0.155491,0.0444743,-0.475984,0.0728728,-0.139923,2.32285,-0.0385001,0.244579,-0.0312996,-1.74419,-2.15311,0.588645,0.0595291,-0.155378,-0.0365835,-0.294993,-0.295018,-0.962644,-0.417141,0.252879,0.0665658,1.0008,-0.874886,0.160349,-0.137697,-0.208363,1.1775,-0.450751,-0.546782,0.112733,1.08575,-0.0601988,0.183239,0.395497,-0.658483,0.598445,0.261392,-0.321018,0.273008,-0.0501101,0.0164723,-0.0665483,1.1704,-0.195024,-0.0136533,-0.0309706,0.626865,-0.0267764,0.0713257,-0.245413,0.149027,0.14025,0.0261334,-0.0777414,-0.479013,1.38479,-0.188074,0.0104607,0.567888,-0.220196,-0.164562,-0.0156038,0.211854,0.683676,-0.441904,0.0725151,-0.13984,0.110487,-0.260276,-0.601353,-0.146782,-0.63195,-0.561195,0.017162,1.72994,0.168962,0.18388,0.270481,1.35448,0.501992,0.454612,0.372749,0.497527,0.426737,0.394415,1.22568,0.790361,0.888525,1.5433,0.30813,0.174207,1.13172,0.211388,0.42433,0.515587,0.967109,0.468288,0.632106,0.0227906,0.404938,0.605736,1.36306,7.74724,0.967298,0.904578,3.47289,0.994762,0.682772,0.497619,0.237457,1.11922,0.62543,1.3675,1.25607,0.27064,0.834556,0.368714,0.457925,0.667124,0.123866,0.197483,0.62057,0.679068,0.133211,1.22695,0.190051,1.11596,0.730275,0.815566,0.60647,0.30985,0.337413,0.33783,0.168016,0.654539,0.557883,0.441928,0.206491,0.35778,0.811048,0.114811,0.725562,0.784647,0.268481,0.809787,3.43073,1.62013,0.515901,0.142578,0.533484,0.134953,0.155536,0.0820528,0.761511,0.601697,3.14795,0.637751,1.02441,0.312927,0.092426,0.777243,0.19726,1.03924,0.948068,0.498823,0.117773,0.999924,5.6862,0.193355,0.780257,0.472031,1.58631,0.896518,1.25428,2.78167,2.50179,0.289344,0.486361,1.66368,0.32849,0.313788,1.39549,2.75784e+06
0,-0.91746,0.211303,-0.292491,0.328129,-0.0459424,-0.732163,0.262547,0.183078,-0.1467,-0.273961,0.114022,1.38237,0.524063,0.176783,-0.67369,-0.496007,0.227007,-0.127096,0.177193,0.0775207,0.0508186,0.193781,0.00812136,0.201782,-0.371297,2.18699,-0.307789,-0.289919,-0.0758465,-1.7277,-1.47256,0.37024,0.0801914,-0.408774,-0.250962,-0.0638442,-0.251483,-0.729147,-0.0642672,0.299173,0.168161,0.918077,-1.08782,0.00315135,-0.018762,-0.128429,0.763979,-0.63341,-0.588054,0.346362,0.462278,0.0449206,0.0200641,0.19817,-0.713218,0.55701,0.397824,0.14241,-0.0731018,0.136992,-0.442696,-0.219851,1.13048,-0.130765,-0.115066,-0.0475517,0.292856,0.22317,0.271406,0.0236286,-0.392387,0.00046513,-0.262707,0.241057,-0.186619,1.15719,-0.103054,-0.282195,0.548658,-0.163261,-0.141956,0.0982151,-0.025816,0.427964,-0.441623,0.56739,0.261481,0.181861,-0.26026,-0.55699,-0.0954236,-0.195978,0.0376215,0.526778,2.10757,-0.275097,-0.127814,0.327889,1.49043,0.405267,-0.024505,0.333453,0.0760279,2.34348,0.22142,1.01465,1.00286,1.87808,0.300143,0.413295,0.175745,0.764809,1.77868,0.124809,0.732877,0.952891,2.5332,0.59433,1.4079,0.112359,3.40943,0.206485,0.101162,0.0770705,0.68445,1.28477,0.460628,0.251712,1.1013,0.967321,0.963074,0.113155,3.82687,0.613112,0.297015,1.37608,0.0677728,0.910695,0.571223,4.25805,0.0944501,0.189025,0.80729,0.154361,0.73039,0.577964,0.737089,0.656267,0.400507,0.933338,0.3243,0.805516,0.701639,0.202801,2.77151,0.738889,0.422348,0.166203,0.176077,0.424286,0.294429,0.888386,0.835864,0.955446,0.139439,0.16806,1.06361,0.0961432,0.384701,0.157843,0.617601,0.719276,0.287868,0.863087,0.363998,0.938722,0.530507,0.477465,0.431523,0.0895404,1.18057,0.273121,0.201706,0.0658055,0.882474,0.187086,0.341803,0.395743,0.219606,1.01422,0.305369,0.482259,0.73151,1.20698,0.994243,4.11367,0.211152,0.871675,0.464222,0.62015,0.711116,1.31205,2.28405
0,-0.550104,0.257993,0.0590825,0.198746,-0.110403,-0.279998,0.952844,-0.19419,-0.324223,-0.231753,-0.158288,1.01131,0.325715,0.203968,-1.21799,-0.798264,-0.205587,-0.326984,0.15432,0.439439,-0.020801,0.100657,0.216987,0.123981,0.292143,2.70904,-0.0724324,0.243715,0.0549623,-1.44384,-1.72049,0.300209,0.0891552,0.273183,-0.0252581,-0.511792,-0.323121,-1.05983,-0.312259,-0.13759,0.0588507,0.400706,-0.942313,-0.949839,0.283173,-0.301842,1.00536,-0.843542,-0.189206,0.077345,0.775893,-0.0747876,0.142479,0.517618,-0.804703,0.691328,0.451888,-0.389911,0.119602,0.463025,-0.18429,-0.0787394,1.24101,0.118545,-0.418366,0.121083,0.598885,-0.0859521,-0.0457139,-0.110378,-0.0545497,-0.23775,-0.193413,0.0913808,-0.0640212,0.166164,-0.0954499,-0.159111,0.860481,-0.192653,-0.460577,0.105939,-0.259524,-0.0313968,-0.120583,0.208882,0.0619507,0.39443,-0.0322672,-0.677467,-0.123375,-0.22097,-0.446194,0.515583,1.12707,0.0700852,0.21515,-0.000318897,1.53872,0.391473,0.0378891,2.28323,0.252383,0.941655,0.116097,0.242311,1.95075,2.11766,0.0621954,0.11517,0.504845,1.63907,1.91395,0.82903,1.15447,0.773303,0.538935,0.324793,0.688568,0.604979,0.397707,0.685388,0.39357,0.216954,0.23314,0.900883,0.639599,0.258111,0.650407,0.819782,1.39652,2.0354,0.423545,2.17979,0.619587,0.625817,0.253337,0.870216,0.285231,0.421664,1.15988,2.78104,1.00627,0.444321,0.876073,0.347603,0.875736,0.261439,1.55499,0.315219,0.296805,0.759165,0.286879,0.729495,1.3389,0.630559,1.41032,0.421708,2.17964,0.46002,0.236583,0.2958,0.847476,0.384504,0.932021,1.5117,1.02651,0.736144,0.606427,1.18023,0.316358,2.70919,0.179402,0.770276,0.16838,1.76155,0.796612,0.139924,1.55401,0.408634,0.693005,0.322746,0.146846,0.667298,0.504805,0.396451,0.668658,0.799674,0.235594,0.304018,0.459078,0.261167,0.738103,1.1752,2.03732,0.132041,0.133942,1.79592,1.15204,0.368248,0.416976,1.51538,234858
0,-0.569724,-0.0556843,-0.394464,0.189661,-0.00278068,-1.03277,0.551515,0.318017,-0.349282,0.0419625,-0.0517855,1.65165,0.918193,0.189216,-0.665939,-0.546558,-0.031397,-0.100181,0.0761472,0.169893,-0.0811883,0.198273,-0.0412252,0.222673,-0.184851,2.34779,0.0390547,-0.0833575,-0.0711884,-1.11875,-1.90021,-0.19868,0.39103,0.017703,-0.0545786,-0.258737,-0.073364,-1.07652,-0.0967525,0.0278547,-0.134041,0.674862,-0.891192,0.0279642,0.457945,-0.579438,0.541165,-0.59418,-0.0462416,-0.0270756,0.239284,-0.141945,0.176921,0.264509,-0.63203,0.19321,0.709884,0.138043,0.0308825,0.428955,-0.221818,-0.0861125,0.948682,-0.0676252,-0.0887555,0.473182,0.461104,-0.00142987,-0.213178,0.00464439,-0.077338,-0.112249,-0.350367,-0.337401,-0.321786,1.08966,-0.3556,0.115259,0.578738,-0.342507,-0.336084,-0.0190879,-0.107309,-0.292332,0.132791,0.0622795,0.0628116,0.0376722,-0.0845295,-0.483391,-0.0345107,-0.453896,0.057815,-0.266035,1.20933,0.0049641,0.0895773,-0.166102,1.35319,0.373686,0.295762,0.172484,0.460423,0.188847,0.972759,1.10622,2.63822,0.52087,0.133154,0.217516,1.49731,2.48164,1.06465,0.252111,1.37322,0.248165,0.612895,0.549428,0.312161,0.171192,0.313494,0.297391,0.185698,0.214079,0.590156,3.37578,0.799974,0.454782,0.689279,0.776937,3.497,0.184795,0.448761,0.259302,0.327152,0.335868,0.108112,0.485044,0.270077,1.68354,0.904675,0.787267,1.04079,0.418372,0.74313,0.842997,1.7548,2.05945,0.272332,0.0818583,0.374812,0.683456,0.383576,0.778594,2.90304,0.197959,1.11744,1.09041,1.38159,0.663856,0.147805,1.9022,0.394236,0.506703,0.241262,1.49119,1.1446,0.531869,0.76011,0.29386,0.125899,0.0386933,0.612179,0.123863,0.15764,1.28656,1.04795,0.108329,1.01483,0.960879,0.901137,0.113016,0.198079,0.127888,1.03735,0.376808,1.39515,0.759843,0.147328,2.09509,0.80714,0.401046,0.39917,0.262824,0.858006,0.229886,1.45105,0.859359,0.828168,0.49383,0.479624,1.33912,2.43437e+07
